Date,Status,Users,UUIDs,Link,Ticket Number,Legundo Mentioned
"Aug 22, 2020 10:41 PM",Withdrawn,"['cup#3832', 'Xcerty#1132', 'Dominion Tickets#4843']","['250824694041673729', '383372912054370309', '557628352828014614']",https://tickettool.xyz/direct?url=https://cdn.discordapp.com/attachments/731298096373432320/746884581118050394/transcript-pending-0088.html,0088,False
"Aug 22, 2020 11:49 PM",Withdrawn,"['Linux#0565', 'Chubbsffs#5533', 'Dominion Tickets#4843']","['730947134081466461', '321916394327506945', '557628352828014614']",https://tickettool.xyz/direct?url=https://cdn.discordapp.com/attachments/731298096373432320/746885236817657926/transcript-claimed-0092.html,0092,False
"Aug 23, 2020 1:37 AM",Withdrawn,"['AgentAv#3237', 'Dominion Tickets#4843']","['427230330487832586', '557628352828014614']",https://tickettool.xyz/direct?url=https://cdn.discordapp.com/attachments/731298096373432320/746906452488355840/transcript-open-0094.html,0094,False
"Aug 23, 2020 4:32 AM",Withdrawn,"['AlexJones#5931', 'Xcerty#1132', 'Dominion Tickets#4843']","['505832805499011072', '383372912054370309', '557628352828014614']",https://tickettool.xyz/direct?url=https://cdn.discordapp.com/attachments/731298096373432320/746966890420895815/transcript-open-0096.html,0096,False
"Aug 23, 2020 6:10 AM",Accepted,"['Lord_Bones#1337', 'Chubbsffs#5533', 'Ossem#2543', 'Dominion Tickets#4843']","['208309127007567872', '165160335903424512', '321916394327506945', '557628352828014614']",https://tickettool.xyz/direct?url=https://cdn.discordapp.com/attachments/731298096373432320/746996711712620574/transcript-pending-0097.html,0097,False
"Aug 23, 2020 1:08 AM",Accepted,"['themoonisflat#1900', 'Xcerty#1132', 'Lord_Bones#1337', 'Dominion Tickets#4843']","['135938946092761088', '165160335903424512', '383372912054370309', '557628352828014614']",https://tickettool.xyz/direct?url=https://cdn.discordapp.com/attachments/731298096373432320/746996731488632892/transcript-pending-0093.html,0093,False
"Aug 23, 2020 1:08 AM",Accepted,"['themoonisflat#1900', 'Xcerty#1132', 'Lord_Bones#1337', 'Dominion Tickets#4843']","['135938946092761088', '165160335903424512', '383372912054370309', '557628352828014614']",https://tickettool.xyz/direct?url=https://cdn.discordapp.com/attachments/731298096373432320/747090999855153232/transcript-pending-0093.html,0093,False
"Aug 23, 2020 4:26 AM",Withdrawn,['Dominion Tickets#4843'],['557628352828014614'],https://tickettool.xyz/direct?url=https://cdn.discordapp.com/attachments/731298096373432320/747091113780969532/transcript-pending-0095.html,0095,False
"Aug 23, 2020 6:10 AM",Accepted,"['Lord_Bones#1337', 'Chubbsffs#5533', 'Ossem#2543', 'Dominion Tickets#4843']","['208309127007567872', '165160335903424512', '321916394327506945', '557628352828014614']",https://tickettool.xyz/direct?url=https://cdn.discordapp.com/attachments/731298096373432320/747091203706716170/transcript-pending-0097.html,0097,False
"Aug 23, 2020 10:34 AM",Withdrawn,"['Mike_Nolzy#4182', 'Chubbsffs#5533', 'Dominion Tickets#4843']","['248316809999155200', '321916394327506945', '557628352828014614']",https://tickettool.xyz/direct?url=https://cdn.discordapp.com/attachments/731298096373432320/747091537795481680/transcript-pending-0098.html,0098,False
